title,url,location,price,property_type,posted_by,description,Extracted_Locality,Clean_Project_Name,Google_Maps_Link,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
"4 BHK Flat in Doddakannelli, Sarjapur Road",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-saran-mulberry-woods-doddakannelli-bangalore-east-4000-sq-ft-r1-spid-E80642193,Saran Mulberry Woods,₹4.4 Cr,4 BHK Flat,3mo ago,"Exquisite 4 bhk apartment in mulberry woods, carmelaram Experience luxury living in this stunning 4 bhk residence with 4 bathrooms and an additional servant room with en-Suite in the prestigious mulberry woods community. A glasshouse in the backyard, complemented by high-End vitrified tiles, creates a serene retreat. The designer kitchen features luxury hettich fittings and kajaria tiles, while...",Sarjapur,"Doddakannelli, Sarjapur Road",https://www.google.com/maps/search/?api=1&query=Saran+Mulberry+Woods+Doddakannelli+Sarjapur+Road+Bangalore,44000000,[4],4000,11000,East,7.35092380147326,6.25685324583963,10,6,7.5,9.5,3,120,10,75,75.9,75.4
"1 BHK Independent Builder Floor in Malagala, Nagarbhavi",https://www.99acres.com/1-bhk-bedroom-independent-builder-floor-for-sale-in-malagala-bangalore-west-780-sq-ft-spid-E86334462,"Malagala, Nagarbhavi, Bangalore West",₹23 Lac,1 BHK Independent Builder Floor,2d ago,"Planning to purchase dream house in bangalore west? This 1 bhk builder floor in malagala is a great option for you. 1 bedroom, 1 bathroom are present in this builder floor. This is a semi-Furnished builder floor. This property spans over built up area of 780 sq.Ft. This beautiful property resides at ground floor of 4 floors building. It is 0-1 year old ready to move property. The nature of owne...",Nagarbhavi,"dependent Builder Floor Malagala, Nagarbhavi",https://www.google.com/maps/search/?api=1&query=Malagala+Nagarbhavi+Bangalore,2300000,[1],780,2949,West,0,10,5,6,6.8,7.4,2,4,0.252100840336134,38.1,62.3,50.2
"2 BHK Flat in Koramangala, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-esteem-splendor-koramangala-bangalore-south-1327-sq-ft-r1-spid-J78760127,Esteem Splendor,₹2 Cr,2 BHK Flat,1w ago,"Residential apartment This is your chance to a 2 bhk apartment / flat for sale in esteem splendor koramangala bangalore . Where luxury comes with affordability. Basic details: You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 3 balconies.The balcony offers a great view and is a place to enjoy at any time. This house provides ample na...",Koramangala,"Koramangala, Bangalore",https://www.google.com/maps/search/?api=1&query=Esteem+Splendor+Koramangala+Bangalore,20000000,[2],1327,15072,South,0.895181741335588,3.93735884093634,7,8,9.2,8.2,2.5,8,0.588235294117647,45.5,53.9,49.7
"Residential land / Plot in Doddabidrakallu, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-doddabidrakallu-bangalore-west-133-sq-yard-spid-Z84808076,"Doddabidrakallu, Bangalore, Bangalore West",₹90 Lac,Residential land / Plot,1mo ago,"We are the proud owners of this 0 bhk apartment available in , doddabidrakallu, bangalore west. This , priced approximately at rs90 lac. It will be ready for possession within 3 months. it is a resale and an under construction apartment. The unit is located on null floor and has . It has bathroom(s). The ownership is freehold type.",Doddabidrakallu,"Residential land / Plot Doddabidrakallu, Bangalore",https://www.google.com/maps/search/?api=1&query=Residential+Plot+Doddabidrakallu+Bangalore,9000000,[],1200,7500,West,0.588455500543413,8.25052476282429,5,5,6.8,7.4,-0.5,1,0,35.9,53.5,44.7
"Residential land / Plot in Gopasandra, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-mana-foliage-gopasandra-bangalore-south-133-sq-yard-spid-Z85057234,Mana Foliage,₹87 Lac,Residential land / Plot,1w ago,It's west facing corner plot no. 7 for sale,Gopasandra,"Residential land / Plot Gopasandra, Bangalore",https://www.google.com/maps/search/?api=1&query=Mana+Foliage+Gopasandra+Bangalore,8700000,[],1200,7250,East,0.588455500543413,8.39292987118034,5,5,7.5,9.5,0,1,0,38,61.7,49.8
"2 BHK Flat in Bommasandra, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bommasandra-bangalore-south-1070-sq-ft-spid-P80373769,GM E City Town,₹71.5 Lac,2 BHK Flat,2mo ago,One of the finest property in electronic city is now available for sale. This is a 2 bhk apartment posted directly by owner. Make it yours now. The price of this apartment is 73l. This apartment is spacious with a built-Up area of 1070 square feet. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Healt...,Bommasandra,"Bommasandra, Bangalore",https://www.google.com/maps/search/?api=1&query=GM+E+City+Town+Bommasandra+Bangalore,7150000,[2],1070,6682,South,0.274483758000242,8.71647427736528,7,8,9.2,8.2,3,15,1.17647058823529,48.6,67.3,58
"3 BHK Flat in Bagalur, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-brigade-el-dorado-bagalur-bangalore-north-1068-sq-ft-spid-J84590948,Brigade El Dorado,₹1.06 Cr,3 BHK Flat,1mo ago,"Gated community, near schools and airport",Bagalur,"Bagalur, Bangalore",https://www.google.com/maps/search/?api=1&query=Brigade+El+Dorado+Bagalur+Bangalore,10600000,[3],1068,9925,North,0.269653423499577,6.86919521177064,9,9,8,9.3,5,17,1.34453781512605,51.3,70.2,60.8
"3 BHK Flat in Jakkur, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jakkur-bangalore-north-1485-sq-ft-spid-X84784960,Mentsu Crescent,₹1.71 Cr,3 BHK Flat,3w ago,"Modern 3bhk flat for sale in jakkur 1.71 cr | 1485 sq.Ft | ready to move Experience premium living in this west-Facing 3bhk apartment located in the well-Connected mentsu crescent, jakkur. Built-Up area of 1485 sq.Ft with uds 582 sq.Ft, this 1-Year-Old home offers both comfort and convenience. Property highlights: Floor: 2nd of (Slit + g + 3) floors Configuration: 3 bedrooms | 2 bathrooms | 3 b...",Jakkur,"Jakkur, Bangalore",https://www.google.com/maps/search/?api=1&query=Mentsu+Crescent+Jakkur+Bangalore,17100000,[3],1485,11515,North,1.27677816688806,5.96349872262618,9,9,8,9.3,2,11,0.840336134453782,50.9,64.2,57.6
"3 Bedroom House in Ramagondanahalli, Whitefield",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-adarsh-palm-meadows-ramagondanahalli-bangalore-east-3400-sq-ft-spid-Y86178040,Adarsh Palm Meadows,₹9.3 Cr,3 Bedroom House,,"Villa for sale at adarsh palm meadows * plot area 4100 sft 
* built up 3400 sft 
* three bed, two living rooms, one family room, dining, sit out , back garden , terrace .
* phase 1 , facing west, adarsh palm meadows 
* completely as per vastu. 
* semi furnished",Whitefield,"3 Ramagondanahalli, Whitefield",https://www.google.com/maps/search/?api=1&query=Adarsh+Palm+Meadows+Ramagondanahalli+Whitefield+Bangalore,93000000,[3],4100,22683,East,7.59244052650646,0,9,9,7.5,9.5,0,95,7.89915966386555,64.1,58.6,61.4
"Residential land / Plot in Bettahalsoor, Bangalore",https://www.99acres.com/residential-land-plot-for-sale-in-bettahalsoor-bangalore-north-166-sq-yard-spid-M83343972,Chapparakulla road,₹89.9 Lac,Residential land / Plot,4mo ago,"Residential land Residential land / plot for sale in yelahanka bangalore A lucrative opportunity is here for those who are planning to buy a land in the prominent areas of chapparakulla road, yelahanka, bangalore The plot is spread across an area of 1497 sq.Ft. Available for residential construction. It is part of a gated community and is enclosed with a boundary wall on all sides. Facilities l...",Bettahalsoor,"Residential land / Plot Bettahalsoor, Bangalore",https://www.google.com/maps/search/?api=1&query=Residential+Plot+Bettahalsoor+Bangalore,8990000,[],1497,6005,North,1.30576017389204,9.10210731079345,5,5,8,9.3,3,1,0,45.2,65.8,55.5
"3 BHK Flat in Kodigehalli, KR Puram",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-white-woods-kodigehalli-bangalore-east-1395-sq-ft-r3-spid-W73292239,White Woods,₹1.35 Cr,3 BHK Flat,4w ago,"This beautiful 3 bhk is closely situated to the proximity of all the schools, hospitals, tech parks, metro, etc. It is an east facing corner flat which is completely vastu compliant and also the flat is situated on the main road
Aster multispeciality hospital- 4km
National public school- 2km 
Hoodi metro station- 3km",Kodigehalli,"Kodigehalli, KR Puram",https://www.google.com/maps/search/?api=1&query=White+Woods+Kodigehalli+KR+Puram+Bangalore,13500000,[3],1395,9677,North,1.05941311435817,7.01046107925983,9,9,8,9.3,8,5,0.336134453781513,57.2,72.1,64.6
"3 BHK Flat in Hoodi, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-total-environment-pursuit-of-a-radical-rhapsody-hoodi-bangalore-east-2713-sq-ft-r4-spid-H79443629,Total Environment Pursuit of A Radical Rhapsody,₹4.3 Cr,3 BHK Flat,Dealer·4w ago,"Check out this 3 bhk apartment for sale in total environment pursuit of a radical rhapsody, a popular residential project that houses in-Demand flats in hoodi, bangalore east. This residential flat is east-Facing direction. Constructed on a carpet area of 2713 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat lies on the 12th level of a 33 storey building...",Hoodi,"Hoodi, Bangalore",https://www.google.com/maps/search/?api=1&query=Total+Environment+Pursuit+of+A+Radical+Rhapsody+Hoodi+Bangalore,43000000,[3],2713,15850,East,4.24260355029586,3.49419414373232,9,9,7.5,9.5,0,12,0.92436974789916,55.8,56.9,56.4
"2 BHK Flat in Horamavu, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-star-arb-gateway-horamavu-bangalore-east-1208-sq-ft-spid-G85801632,Star ARB Gateway,₹1.09 Cr,2 BHK Flat,Dealer·4d ago,2bhk flat for sale in hormavu jayanthi nagar ready to move in flat with oc and cc received afforadable ammenities like carparking powerbackup generator intercom lift security party hal approved from all leading banks sbi lic etc,Horamavu,"Horamavu, Bangalore",https://www.google.com/maps/search/?api=1&query=Star+ARB+Gateway+Horamavu+Bangalore,10900000,[2],1208,9023,North,0.60777683854607,7.38299284271925,7,8,8,9.3,3.5,13,1.00840336134454,46.5,68,57.2
"2 BHK Flat in KR Puram, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-arsis-green-hills-kr-puram-bangalore-east-1330-sq-ft-spid-W85607920,Arsis Green Hills,₹1.6 Cr,2 BHK Flat,2w ago,"Ready to move
Wood work completed 
Safety grills and mess installed
Corner flat with good ventilation
Oc for property received 
Super aeriel view from balcony and all rooms
Property on main road, tirupati highway
Kajaria tiles in floor and bathroom 
Jaguar bathroom fittings
Light, fans, geyser, curtains installed
Tv unit, modular kitchen, wardrobe in both bedroom",KR Puram,"KR Puram, Bangalore",https://www.google.com/maps/search/?api=1&query=Arsis+Green+Hills+KR+Puram+Bangalore,16000000,[2],1330,12030,East,0.902427243086584,5.67014419941272,7,8,7.5,9.5,2.5,16,1.26050420168067,43.8,63.8,53.8
"4 Bedroom House in Balagere, Near Panathur, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-excel-amber-meadows-balagere-bangalore-east-2820-sq-ft-spid-V84728178,Excel Amber Meadows,₹2.7 Cr,4 Bedroom House,2mo ago,"Independent villa An impeccable opportunity is here for those who are looking to own aesthetically designed independent villa in excel amber meadows, balagere, bangalore which ensures a relaxed and comfortable stay. Being an independent villa it provides you a serene and tranquil environment with a modern setup. This villa provides ample natural light and has good ventilation that invites comfo...",Panathur,"4 Balagere, Near Panathur, Bangalore",https://www.google.com/maps/search/?api=1&query=Excel+Amber+Meadows+Balagere+Near+Panathur+Bangalore,27000000,[4],2820,9574,East,4.50102644608139,7.06913198390253,10,6,7.5,9.5,0,12,0.92436974789916,62.8,61.3,62
Svamitva Terravana,https://www.99acres.com/svamitva-terravana-harohalli-bangalore-south-npxid-r371538,"in Harohalli, Kanakapura Road",₹5.56 Cr,3 BHK Villa,Svamitva Infra,"Buy 3 BHK Villa for sale in Harohalli in a gated society by Svamitva Terravana. Some of the popular amenities available here include Swimming Pool, Gymnasium and Club House. Svamitva Terravana is already Under Construction .Families will start moving in their Villas from Dec, 2025. Villas size in Svamitva Terravana varies from 3,089 sqft",Kanakapura,Svamitva Terravana,https://www.google.com/maps/search/?api=1&query=Svamitva+Terravana+Harohalli+Kanakapura+Road+Bangalore,55600000,[3],3089,17999,South,5.15070643642073,2.27007983230374,9,9,9.2,8.2,3.5,29,2.35294117647059,64.7,54.9,59.8
Prestige Mayberry,https://www.99acres.com/prestige-mayberry-whitefield-bangalore-east-npxid-r6774,"in Whitefield, Bangalore","₹4.97 Cr, ₹6.32 - 7.18 Cr","3, 4 BHK Villa",Prestige Group,"Located in Whitefield, Prestige Mayberry is now offering 3,4 BHK Villa for sale. Villas size in Prestige Mayberry varies from 2,483 - 3,589 sqft. Villas in Prestige Mayberry will cost you in the range of Rs. 4.97 - 7.18 Cr. Some of the popular amenities available here include Swimming Pool, Gymnasium and Club House",Whitefield,Prestige Mayberry,https://www.google.com/maps/search/?api=1&query=Prestige+Mayberry+Whitefield+Bangalore,58600000,"[3, 4]",3589,16328,East,6.35829006158677,3.22191557655556,10,9,7.5,9.5,2,95,7.89915966386555,67.5,68.7,68.1
ATCO La Vivant,https://www.99acres.com/atco-la-vivant-sarjapur-bangalore-east-npxid-r411449,"in Sarjapur, Bangalore","₹1.54 - 1.6 Cr, ₹2.28 - 2.81 Cr","3, 4 BHK Apartment",ATCO Projects,"Choose your dream home from the wide variety of 3,4 BHK apartments in Sarjapur, available for sale in ATCO La Vivant. Apartments in this complex are available in price range of Rs. 1.54 - 2.81 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/090623/005986 registration number. ATCO La Vivant has apartments in multiple configurations, in range of 1,921 - 3,710 sqft",Sarjapur,ATCO La Vivant,https://www.google.com/maps/search/?api=1&query=ATCO+La+Vivant+Sarjapur+Bangalore,20575000,"[3, 4]",3710,5546,East,6.65052529887695,9.36356308973516,10,9,7.5,9.5,0,120,10,72.6,85.2,78.9
Platinum East Woods,https://www.99acres.com/platinum-east-woods-whitefield-bangalore-east-npxid-r412178,"in Whitefield, Bangalore","₹87.23 L - 1.13 Cr, ₹1.18 - 1.81 Cr, ₹1.85 - 2.14 Cr","2, 3, 4 BHK Apartment",Platinum Narya Infra,"Platinum East Woods society now offers elegantly built 2,3,4 BHK apartments in Whitefield. Platinum East Woods 's RERA registration number is PRM/KA/RERA/1251/446/PR/100423/005855. This society offers apartments in the price range of Rs. 87.23 L - 2.14 Cr. Platinum East Woods apartments are available in multiples sizes, ranging from 1,051 - 2,578 sqft SUPER area",Whitefield,Platum East Woods,https://www.google.com/maps/search/?api=1&query=Platinum+East+Woods+Whitefield+Bangalore,14970500,"[2, 3, 4]",2578,5807,East,3.91655597150103,9.21489215661144,10,9,7.5,9.5,0,95,7.89915966386555,62.9,81.6,72.2
Embassy Pristine,https://www.99acres.com/embassy-pristine-iblur-village-bangalore-south-npxid-r9796,"in Iblur Village, Outer Ring Road South","₹4.89 - 5.93 Cr, ₹6.6 Cr, ₹7.78 - 9.88 Cr","3, 4, 5 BHK Apartment",Embassy Group,"Looking for your dream home? Explore 3,4,5 BHK apartments in Iblur Village, now available in Embassy Pristine. Apartments in Embassy Pristine have SUPER area ranging between 2,666 - 5,384 sqft. This society offers apartments in the price range of Rs. 4.89 - 9.88 Cr. The property options in this society are Ready To Move",Iblur,Embassy Priste,https://www.google.com/maps/search/?api=1&query=Embassy+Pristine+Iblur+Village+Outer+Ring+Road+South+Bangalore,69466667,"[3, 4, 5]",5384,12902,South,10,5.17343518146683,10,9,9.2,8.2,2,1,0,85.6,57.1,71.4
Prestige PineWood,https://www.99acres.com/prestige-pinewood-srinivagilu-bangalore-south-npxid-r123813,"in Srinivagilu, Koramangala","₹3.96 - 5.88 Cr, ₹5.83 - 6.17 Cr, ₹7.8 - 7.94 Cr","2, 3, 4 BHK Apartment",Prestige Group,"Prestige PineWood society now offers elegantly built 2,3,4 BHK apartments in Srinivagilu. Prestige PineWood apartments are available in multiples sizes, ranging from 1,249 - 2,503 sqft SUPER area. This society is RERA approved and PRM/KA/RERA/1251/310/PR/170913/000109 is the RERA number. Apartments in this complex are available in price range of Rs. 3.96 - 7.94 Cr",Koramangala,Prestige PeWood,https://www.google.com/maps/search/?api=1&query=Prestige+PineWood+Srinivagilu+Koramangala+Bangalore,62633333,"[2, 3, 4]",2503,25023,South,3.73541842772612,0,10,9,9.2,8.2,0,8,0.588235294117647,56.5,43.1,49.8
Sterling Villa Grande,https://www.99acres.com/sterling-villa-grande-whitefield-bangalore-east-npxid-r5126,"in Whitefield, Bangalore","₹3 - 4.31 Cr, ₹3.82 - 4.64 Cr","3, 4 BHK Villa",Sterling Developers,"Check out 3,4 BHK Villa in Sterling Villa Grande, located in Whitefield. Sterling Villa Grande is a Partially Ready To Move project . Villas in Sterling Villa Grande are offered in the price range of Rs. 3 - 4.64 Cr. Some of the popular amenities available here include Swimming Pool, Gymnasium and Club House",Whitefield,Sterlg Grande,https://www.google.com/maps/search/?api=1&query=Sterling+Villa+Grande+Whitefield+Bangalore,39425000,"[3, 4]",,,East,1.70305518657167,7.25539786563224,10,9,7.5,9.5,4,95,7.89915966386555,57.2,80.7,69
Prestige Primrose Hills,https://www.99acres.com/prestige-primrose-hills-uttarahalli-manavarthekaval-bangalore-south-npxid-r367455,"in Uttarahalli Manavarthekaval, Kanakapura Road","₹84.7 L - 1.38 Cr, ₹1.26 - 1.37 Cr","2, 3 BHK Apartment",Prestige Group,"Prestige Primrose Hills, one of the known housing societes in Bangalore South, brings classic yet modern 2,3 BHK apartments in Uttarahalli Manavarthekaval. This society offers apartments in the price range of Rs. 84.7 L - 1.51 Cr. Apartments in Prestige Primrose Hills have CARPET area ranging between 605 - 1,079 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/200618/003455 registration number",Uttarahalli,Prestige Primrose Hills,https://www.google.com/maps/search/?api=1&query=Prestige+Primrose+Hills+Uttarahalli+Manavarthekaval+Bangalore,12142500,"[2, 3]",1079,11253,South,0.29622026325323,6.11273927618331,9,9,9.2,8.2,0,14,1.09243697478992,48,59.1,53.6
TG Heritage,https://www.99acres.com/tg-heritage-kanakapura-road-bangalore-south-npxid-r403600,"in Kanakapura Road, Bangalore","₹1.06 - 1.11 Cr, ₹1.3 - 1.43 Cr","2, 3 BHK Apartment",T G Developers,"Check out 2,3 BHK apartments in Kanakapura Road, now available for sale at TG Heritage. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/160123/005621 registration number. Apartment prices in this housing society vary in the range of Rs. 1.06 - 1.43 Cr. Apartments in TG Heritage have CARPET area ranging between 755 - 1,023 sqft",Kanakapura,TG Heritage,https://www.google.com/maps/search/?api=1&query=TG+Heritage+Kanakapura+Road+Bangalore,12250000,"[2, 3]",1023,11975,South,0.160970897234634,5.70147332325105,9,9,9.2,8.2,0,29,2.35294117647059,47.2,60,53.6
BCD Emprasa,https://www.99acres.com/bcd-emprasa-kambalipura-bangalore-north-npxid-r404809,"in Kambalipura, Hoskote","₹3.74 Cr, ₹40 L","1, 2 BHK Apartment",BCD EMPRASA LIMITED LIABILITY PARTNERSHIP,"Here are beautifully built 1,2 BHK apartments in Kambalipura, available for sale at BCD Emprasa. Apartments in this complex are available in price range of Rs. 40 L - 3.74 Cr. BCD Emprasa is a RERA- registered society and PRM/KA/RERA/1250/304/PR/171031/001084 is the RERA registration number. Here units have different sizes, mostly in range of 692 - 741 sqft SUPER area",Kambalipura,BCD Emprasa,https://www.google.com/maps/search/?api=1&query=BCD+Emprasa+Kambalipura+Hoskote+Bangalore,20700000,"[1, 2]",741,27935,East,0,0,7,8,7.5,9.5,0,1,0,32.5,45.2,38.8
Soho By Bren,https://www.99acres.com/soho-by-bren-talaghattapura-bangalore-south-npxid-r394750,"in Talaghattapura, Kanakapura Road","₹1.41 Cr, ₹1.67 - 2 Cr","2, 3 BHK Apartment",Bren Corporation,"Here are beautifully built 2,3 BHK apartments in Talaghattapura, available for sale at Soho By Bren. Prices of apartments in this project, vary between Rs. 1.41 - 2 Cr. Soho By Bren apartments are available in multiples sizes, ranging from 1,331 - 1,894 sqft SUPER area. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/200622/005011 registration number",Talaghattapura,Soho By Bren,https://www.google.com/maps/search/?api=1&query=Soho+By+Bren+Talaghattapura+Kanakapura+Road+Bangalore,16225000,"[2, 3]",1894,8567,South,2.26458157227388,7.64273976036068,9,9,9.2,8.2,0,4,0.252100840336134,56.5,61.7,59.1
Waterline Miraya Woods by UKN,https://www.99acres.com/waterline-miraya-woods-by-ukn-siddapura-bangalore-east-npxid-r426927,"in Siddapura, Whitefield",Price on Request,3 BHK Apartment,UKn Properties,"Waterline Miraya Woods by UKN, one of the known housing societes in Bangalore East, brings classic yet modern 3 BHK apartments in Siddapura. Waterline Miraya Woods by UKN is a RERA- registered society and PRM/KA/RERA/1251/446/PR/180424/006797 is the RERA registration number. Here units have different sizes, mostly in range of 1,870 sqft SUPER area. Apartments are New Launch in this project",Whitefield,Waterle Miraya Woods by UKN,https://www.google.com/maps/search/?api=1&query=Waterline+Miraya+Woods+by+UKN+Siddapura+Whitefield+Bangalore,,[3],1870,,East,2.20661755826591,7.25539786563224,9,9,7.5,9.5,0,95,7.89915966386555,52.5,76.7,64.6
Durga Petals,https://www.99acres.com/durga-petals-dodda-nekkundi-bangalore-east-npxid-r64520,"in Dodda Nekkundi, Outer Ring Road East","₹1.99 - 2.78 Cr, ₹2.58 - 2.84 Cr","2, 3 BHK Apartment",Durga Projects,"Finest 2,3 BHK apartments in Dodda Nekkundi available for sale in Durga Petals. Prices of apartments in this project, vary between Rs. 1.99 - 2.84 Cr. This society is RERA approved and PRM/KA/RERA/1251/446/PR/171014/000571 is the RERA number. Apartments in Durga Petals have SUPER area ranging between 1,133 - 1,693 sqft",Dodda Nekkundi,Durga Petals,https://www.google.com/maps/search/?api=1&query=Durga+Petals+Dodda+Nekkundi+Bangalore,25475000,"[2, 3]",1693,15047,East,1.77913295495713,3.95159935177194,9,9,7.5,9.5,0,2,0.0840336134453781,47.7,56.8,52.2
K Raheja Vivarea,https://www.99acres.com/k-raheja-vivarea-3rd-block-koramangala-bangalore-south-npxid-r766,"in 3rd Block Koramangala, Bangalore","₹4.13 - 4.52 Cr, ₹5.21 Cr, ₹6.97 - 7.22 Cr","3, 4, 5 BHK Apartment",K Raheja Corp,"Spacious 3,4,5 BHK apartments in 3rd Block Koramangala are available for sale.Check out latest property options at K Raheja Vivarea housing society. K Raheja Vivarea is a RERA- registered society and PRM/KA/RERA/1251/310/PR/171125/000528 is the RERA registration number. Apartments in this complex are available in price range of Rs. 4.13 - 7.22 Cr. Here units have different sizes, mostly in range of 2,567 - 4,487 sqft CARPET area",Koramangala,K Raheja Vivarea,https://www.google.com/maps/search/?api=1&query=K+Raheja+Vivarea+3rd+Block+Koramangala+Bangalore,55433333,"[3, 4, 5]",4487,12354,South,8.52711025238498,5.48558717898328,10,9,9.2,8.2,0,8,0.588235294117647,78.7,56.8,67.8
VK Krishna Gardenia,https://www.99acres.com/vk-krishna-gardenia-kanakapura-road-bangalore-south-npxid-r302943,"in Kanakapura Road, Bangalore","₹97.58 L - 1.04 Cr, ₹1.19 - 1.3 Cr","2, 3 BHK Apartment",VK Developers,"Looking for your dream home? Explore 2,3 BHK apartments in Kanakapura Road, now available in VK Krishna Gardenia. Apartments in VK Krishna Gardenia have SUPER area ranging between 1,190 - 1,580 sqft. This society offers apartments in the price range of Rs. 97.58 L - 1.3 Cr. VK Krishna Gardenia is a RERA- registered society and PRM/KA/RERA/1251/310/PR/180728/001968 is the RERA registration number",Kanakapura,VK Krishna Gardenia,https://www.google.com/maps/search/?api=1&query=VK+Krishna+Gardenia+Kanakapura+Road+Bangalore,11264500,"[2, 3]",1580,7129,South,1.50621905566961,8.46185394362467,9,9,9.2,8.2,0,29,2.35294117647059,54.6,66.9,60.8
Century Ethos,https://www.99acres.com/century-ethos-hebbal-bangalore-north-npxid-r24044,"in Hebbal, Bangalore","₹3.17 - 3.48 Cr, ₹4.72 Cr","3, 4 BHK Apartment",Century Real Estate Holdings,"Finest 3,4 BHK apartments in Hebbal available for sale in Century Ethos. Apartments in Century Ethos have SUPER area ranging between 2,850 - 4,235 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/171014/000283 registration number. This society offers apartments in the price range of Rs. 3.17 - 4.72 Cr",Hebbal,Century Ethos,https://www.google.com/maps/search/?api=1&query=Century+Ethos+Hebbal+Bangalore,40225000,"[3, 4]",4235,9498,North,7.9184881053013,7.11242313684276,10,9,8,9.3,0,20,1.59663865546218,75.8,66.2,71
Urban Poetry Of Earth,https://www.99acres.com/urban-poetry-of-earth-varthur-bangalore-east-npxid-r437419,"in Varthur, Bangalore",₹1.9 Cr,4 BHK Apartment,Urban Excellence LLP,"Beautiful 4 BHK apartments in Varthur, are now available in Urban Poetry Of Earth housing project. Prices of apartments in this project, vary between Rs. 1.9 Cr. This society is RERA approved and PRM/KA/RERA/1251/446/PR/281024/007183 is the RERA number. Here units have different sizes, mostly in range of 1,171 sqft CARPET area",Varthur,Urban Poetry Of Earth,https://www.google.com/maps/search/?api=1&query=Urban+Poetry+Of+Earth+Varthur+Bangalore,19000000,[4],1171,16225,East,0.518415650283782,3.28058648119825,10,6,7.5,9.5,0,48,3.94957983193277,45.1,56.4,50.8
Candeur Signature,https://www.99acres.com/candeur-signature-varthur-bangalore-east-npxid-r349637,"in Varthur, Bangalore","₹73 - 95.79 L, ₹2.1 - 2.2 Cr","2, 3 BHK Apartment",Candeur Constructions,"Spacious 2,3 BHK apartments in Varthur are available for sale.Check out latest property options at Candeur Signature housing society. Candeur Signature 's RERA registration number is PRM/KA/RERA/1251/446/PR/200121/003217. This society offers apartments in the price range of Rs. 73 L - 2.2 Cr. Here units have different sizes, mostly in range of 1,105 - 1,590 sqft SUPER area",Varthur,Candeur Signature,https://www.google.com/maps/search/?api=1&query=Candeur+Signature+Varthur+Bangalore,14969750,"[2, 3]",1590,9415,East,1.53037072817293,7.15970163281697,9,9,7.5,9.5,0,48,3.94957983193277,50,70.6,60.3
Brigade Caladium,https://www.99acres.com/brigade-caladium-hebbal-bangalore-north-npxid-r8382,"in Hebbal, Bangalore","₹4.2 - 4.29 Cr, ₹4.87 - 5.42 Cr","3, 4 BHK Apartment",Brigade Group,"Check out 3,4 BHK apartments in Hebbal, now available for sale at Brigade Caladium. This society offers apartments in the price range of Rs. 4.2 - 5.42 Cr. Brigade Caladium apartments are available in multiples sizes, ranging from 3,450 - 4,450 sqft SUPER area. Apartments at Brigade Caladium is currently Ready To Move",Hebbal,Brigade Caladium,https://www.google.com/maps/search/?api=1&query=Brigade+Caladium+Hebbal+Bangalore,46950000,"[3, 4]",4450,10551,North,8.4377490641227,6.51261282044709,10,9,8,9.3,2,20,1.59663865546218,79,66.7,72.8
